Processed,Method,URI,Flags
true,GET,http://127.0.0.1:8080/bodgeit,Seed
true,GET,http://127.0.0.1:8080/robots.txt,Seed
true,GET,http://127.0.0.1:8080/sitemap.xml,Seed
true,GET,http://127.0.0.1:8080/bodgeit/,Seed
true,GET,http://127.0.0.1:8080/bodgeit/js,Seed
true,GET,http://127.0.0.1:8080/bodgeit/js/util.js,Seed
true,GET,http://127.0.0.1:8080/bodgeit/style.css,Seed
true,GET,http://127.0.0.1:8080/bodgeit/js/,
false,GET,http://stackoverflow.com/questions/316781/how-to-build-query-string-with-javascript,Out of Scope
true,GET,http://127.0.0.1:8080/bodgeit/home.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/about.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/contact.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/login.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/search.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=6,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=5,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=3,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=2,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=7,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=4,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?typeid=1,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=27,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=2,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=24,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=26,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=23,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=25,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=6,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=20,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=30,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=32,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=7,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=31,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=14,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=5,
true,GET,http://127.0.0.1:8080/bodgeit/admin.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/score.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/advanced.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/register.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/search.jsp?q=ZAP,
true,POST,http://127.0.0.1:8080/bodgeit/contact.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/login.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/images/130.png,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=28,
true,GET,http://127.0.0.1:8080/bodgeit/images/129.png,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=4,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=9,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=8,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=17,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=10,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=29,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=18,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=11,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=22,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=19,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=12,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=13,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=21,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=1,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,GET,http://127.0.0.1:8080/bodgeit/product.jsp?prodid=15,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
true,POST,http://127.0.0.1:8080/bodgeit/basket.jsp,
