Processed,Method,URI,Flags
TRUE,GET,http://127.0.0.1/login.php,Seed
TRUE,GET,http://127.0.0.1/robots.txt,Seed
TRUE,GET,http://127.0.0.1/sitemap.xml,Seed
TRUE,GET,http://127.0.0.1/,Seed
TRUE,GET,http://127.0.0.1/dvwa,Seed
TRUE,GET,http://127.0.0.1/dvwa/,Seed
TRUE,GET,http://127.0.0.1/dvwa/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/css,Seed
TRUE,GET,http://127.0.0.1/dvwa/css/,Seed
TRUE,GET,http://127.0.0.1/dvwa/css/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/css/help.css,Seed
TRUE,GET,http://127.0.0.1/dvwa/css/login.css,Seed
TRUE,GET,http://127.0.0.1/dvwa/css/main.css,Seed
TRUE,GET,http://127.0.0.1/dvwa/css/source.css,Seed
TRUE,GET,http://127.0.0.1/dvwa/images,Seed
TRUE,GET,http://127.0.0.1/dvwa/images/,Seed
TRUE,GET,http://127.0.0.1/dvwa/images/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/includes,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/MySQL.php,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/PGSQL.php,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/dvwaPage.inc.php,Seed
TRUE,GET,http://127.0.0.1/dvwa/includes/dvwaPhpIds.inc.php,Seed
TRUE,GET,http://127.0.0.1/dvwa/js,Seed
TRUE,GET,http://127.0.0.1/dvwa/js/,Seed
TRUE,GET,http://127.0.0.1/dvwa/js/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/js/add_event_listeners.js,Seed
TRUE,GET,http://127.0.0.1/dvwa/js/dvwaPage.js,Seed
TRUE,GET,http://127.0.0.1/icons,Seed
TRUE,GET,http://127.0.0.1/index.php,Seed
FALSE,GET,http://www.dvwa.co.uk/,Out
TRUE,GET,http://127.0.0.1/dvwa/images/login_logo.png,
TRUE,GET,http://127.0.0.1/dvwa/images/RandomStorm.png,
TRUE,POST,http://127.0.0.1/login.php,
TRUE,GET,http://127.0.0.1/instructions.php,
FALSE,GET,http://127.0.0.1/setup.php,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/brute/,
TRUE,GET,http://127.0.0.1/vulnerabilities/exec/,
TRUE,GET,http://127.0.0.1/vulnerabilities/csrf/,
TRUE,GET,http://127.0.0.1/vulnerabilities/fi/?page=include.php,
TRUE,GET,http://127.0.0.1/vulnerabilities/upload/,
TRUE,GET,http://127.0.0.1/vulnerabilities/captcha/,
TRUE,GET,http://127.0.0.1/vulnerabilities/sqli/,
TRUE,GET,http://127.0.0.1/vulnerabilities/sqli_blind/,
TRUE,GET,http://127.0.0.1/vulnerabilities/weak_id/,
TRUE,GET,http://127.0.0.1/vulnerabilities/xss_d/,
TRUE,GET,http://127.0.0.1/vulnerabilities/xss_r/,
TRUE,GET,http://127.0.0.1/vulnerabilities/xss_s/,
TRUE,GET,http://127.0.0.1/vulnerabilities/csp/,
TRUE,GET,http://127.0.0.1/vulnerabilities/javascript/,
TRUE,GET,http://127.0.0.1/security.php,
TRUE,GET,http://127.0.0.1/phpinfo.php,
TRUE,GET,http://127.0.0.1/about.php,
FALSE,GET,http://127.0.0.1/logout.php,
FALSE,GET,https://www.virtualbox.org/,Out
FALSE,GET,https://www.vmware.com/,Out
FALSE,GET,https://www.apachefriends.org/en/xampp.html,Out
FALSE,GET,http://www.itsecgames.com/,Out
FALSE,GET,http://sourceforge.net/projects/mutillidae/files/mutillidae-project/,Out
FALSE,GET,http://www.irongeek.com/i.php?page=mutillidae/mutillidae-deliberately-vulnerable-php-owasp-top-10,Out
FALSE,GET,https://www.owasp.org/index.php/OWASP_Broken_Web_Applications_Project,Out
TRUE,GET,http://127.0.0.1/favicon.ico,
TRUE,GET,http://127.0.0.1/dvwa/images/logo.png,
TRUE,GET,http://127.0.0.1/dvwa/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/?C=D,
TRUE,GET,http://127.0.0.1/icons/blank.gif,
TRUE,GET,http://127.0.0.1/icons/back.gif,
TRUE,GET,http://127.0.0.1/icons/folder.gif,
TRUE,GET,http://127.0.0.1/dvwa/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/css/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/css/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/css/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/css/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/css/?C=D,
TRUE,GET,http://127.0.0.1/icons/text.gif,
TRUE,GET,http://127.0.0.1/dvwa/images/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/images/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/images/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/images/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/images/dollar.png,
TRUE,GET,http://127.0.0.1/dvwa/images/lock.png,
TRUE,GET,http://127.0.0.1/dvwa/images/spanner.png,
TRUE,GET,http://127.0.0.1/dvwa/images/warning.png,
TRUE,GET,http://127.0.0.1/icons/image2.gif,
TRUE,GET,http://127.0.0.1/dvwa/images/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/includes/?C=D,
TRUE,GET,http://127.0.0.1/icons/unknown.gif,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/includes/DBMS/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/js/?C=N,
TRUE,GET,http://127.0.0.1/dvwa/js/?C=M,
TRUE,GET,http://127.0.0.1/dvwa/js/?C=S,
TRUE,GET,http://127.0.0.1/dvwa/js/?C=D,
TRUE,GET,http://127.0.0.1/dvwa/js/?C=N,
TRUE,GET,http://127.0.0.1/instructions.php?doc=readme,
TRUE,GET,http://127.0.0.1/instructions.php?doc=PDF,
TRUE,GET,http://127.0.0.1/instructions.php?doc=changelog,
TRUE,GET,http://127.0.0.1/instructions.php?doc=copying,
TRUE,GET,http://127.0.0.1/instructions.php?doc=PHPIDS-license,
FALSE,GET,http://www.gnu.org/licenses/,Out
FALSE,GET,https://hub.docker.com/r/vulnerables/web,Out
FALSE,GET,https://github.com/ethicalhack3r/DVWA/archive/v1.9.zip,Out
FALSE,GET,http://www.dvwa.co.uk/DVWA,Out
FALSE,GET,https://github.com/ethicalhack3r/DVWA/archive/master.zip,Out
FALSE,GET,https://github.com/ethicalhack3r/DVWA,Out
FALSE,GET,https://support.microsoft.com/en,Out
FALSE,GET,https://www.youtube.com/watch?v=5BG6iq,Out
FALSE,GET,https://www.youtube.com/watch?v=cak2lQvBRAo,Out
TRUE,GET,http://127.0.0.1/dvwa/setup.php,
FALSE,GET,https://secure.php.net/manual/en/filesystem.configuration.php,Out
FALSE,GET,https://secure.php.net/manual/en/features.safe,Out
FALSE,GET,https://secure.php.net/manual/en/security.magicquotes.php,Out
FALSE,GET,https://secure.php.net/manual/en/errorfunc.configuration.php,Out
FALSE,GET,https://www.google.com/recaptcha/admin/create,Out
TRUE,GET,http://127.0.0.1/dvwa/login.php,
FALSE,GET,https://github.com/ethicalhack3r/DVWA/issues,Out
FALSE,GET,https://www.owasp.org/index.php/Testing_for_Brute_Force_(OWASP-AT-004),Out
FALSE,GET,http://www.symantec.com/connect/articles/password-crackers-ensuring-security-your-password,Out
FALSE,GET,http://www.sillychicken.co.nz/Security/how-to-brute-force-http-forms-in-windows.html,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/brute/?Login=Login&password=ZAP&username=ZAP,
FALSE,GET,http://www.scribd.com/doc/2530476/Php-Endangers-Remote-Code-Execution,Out
FALSE,GET,http://www.ss64.com/bash/,Out
FALSE,GET,http://www.ss64.com/nt/,Out
FALSE,GET,https://www.owasp.org/index.php/Command_Injection,Out
TRUE,POST,http://127.0.0.1/vulnerabilities/exec/,
FALSE,GET,https://www.owasp.org/index.php/Cross-Site_Request_Forgery,Out
FALSE,GET,http://www.cgisecurity.com/csrf-faq.html,Out
FALSE,GET,https://en.wikipedia.org/wiki/Cross-site_request_forgery,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/csrf/?Change=Change&password_conf=ZAP&password_new=ZAP,
TRUE,GET,http://127.0.0.1/vulnerabilities/fi/?page=file1.php,
TRUE,GET,http://127.0.0.1/vulnerabilities/fi/?page=file2.php,
TRUE,GET,http://127.0.0.1/vulnerabilities/fi/?page=file3.php,
FALSE,GET,https://en.wikipedia.org/wiki/Remote_File_Inclusion,Out
FALSE,GET,https://www.owasp.org/index.php/Top_10_2007-A3,Out
FALSE,GET,https://en.wikipedia.org/wiki/CAPTCHA,Out
FALSE,GET,https://www.google.com/recaptcha/,Out
FALSE,GET,https://www.owasp.org/index.php/Testing_for_Captcha_(OWASP-AT-012),Out
FALSE,GET,https://www.google.com/recaptcha/api.js,Out
TRUE,POST,http://127.0.0.1/vulnerabilities/captcha/,
FALSE,GET,https://www.owasp.org/index.php/Unrestricted_File_Upload,Out
FALSE,GET,https://blogs.securiteam.com/index.php/archives/1268,Out
FALSE,GET,https://www.acunetix.com/websitesecurity/upload-forms-threat/,Out
TRUE,POST,http://127.0.0.1/vulnerabilities/upload/,
FALSE,GET,http://www.securiteam.com/securityreviews/5DP0N1P76E.html,Out
FALSE,GET,https://en.wikipedia.org/wiki/SQL_injection,Out
FALSE,GET,http://ferruh.mavituna.com/sql-injection-cheatsheet-oku/,Out
FALSE,GET,http://pentestmonkey.net/cheat-sheet/sql-injection/mysql-sql-injection-cheat-sheet,Out
FALSE,GET,https://www.owasp.org/index.php/SQL_Injection,Out
FALSE,GET,http://bobby-tables.com/,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/sqli/?Submit=Submit&id=ZAP,
FALSE,GET,https://www.owasp.org/index.php/Blind_SQL_Injection,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/sqli_blind/?Submit=Submit&id=ZAP,
TRUE,POST,http://127.0.0.1/vulnerabilities/weak_id/,
FALSE,GET,https://www.owasp.org/index.php/Cross-site_Scripting_(XSS),Out
FALSE,GET,https://www.owasp.org/index.php/Testing_for_DOM-based_Cross_site_scripting_(OTG-CLIENT-001),Out
FALSE,GET,https://www.acunetix.com/blog/articles/dom-xss-explained/,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/xss_d/?default,
FALSE,GET,https://www.owasp.org/index.php/XSS_Filter_Evasion_Cheat_Sheet,Out
FALSE,GET,https://en.wikipedia.org/wiki/Cross-site_scripting,Out
FALSE,GET,http://www.cgisecurity.com/xss-faq.html,Out
FALSE,GET,http://www.scriptalert1.com/,Out
TRUE,GET,http://127.0.0.1/vulnerabilities/xss_r/?name=ZAP,
FALSE,GET,https://content-security-policy.com/,Out
FALSE,GET,https://developer.mozilla.org/en-US/docs/Web/HTTP/CSP,Out
