Processed,Method,URI,Flags
true,GET,http://127.0.0.1:1234/mutillidae,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/,Seed
true,GET,http://127.0.0.1:1234/mutillidae/,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/images,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/images/favicon.ico,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/ddsmoothmenu,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/ddsmoothmenu/ddsmoothmenu.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/gritter,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/gritter/jquery.gritter.min.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/hints,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/hints/hints-menu.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers/ddsmoothmenu-init.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers/gritter-init.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers/hints-menu-init.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers/jquery-init.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?page=home.php&popUpNotificationCode=HPH0,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/inline-initializers/populate-web-storage.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?page=login.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/jQuery,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?do=toggle-hints&page=/opt/lampp/htdocs/mutillidae/mutillidae/home.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/jQuery/colorbox,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?do=toggle-security&page=/opt/lampp/htdocs/mutillidae/mutillidae/home.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/jQuery/colorbox/colorbox.css,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?do=toggle-enforce-ssl&page=/opt/lampp/htdocs/mutillidae/mutillidae/home.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/jQuery/colorbox/jquery.colorbox-min.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/set-up-database.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/javascript/jQuery/jquery.js,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?page=show-log.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/styles,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?page=captured-data.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/styles/ddsmoothmenu,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/styles/ddsmoothmenu/ddsmoothmenu.css,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/images/,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/index.php?page=user-info.php,
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/styles/global-styles.css,Seed
true,GET,http://127.0.0.1:1234/mutillidae/mutillidae/?page=add-to-your-blog.php,
