Processed,Method,URI,Flags
true,GET,http://127.0.0.1/xvwa,Seed
true,GET,http://127.0.0.1/robots.txt,Seed
true,GET,http://127.0.0.1/sitemap.xml,Seed
true,GET,http://127.0.0.1/xvwa/,Seed
true,GET,http://127.0.0.1/xvwa/css,Seed
true,GET,http://127.0.0.1/xvwa/css/bootstrap.min.css,Seed
true,GET,http://127.0.0.1/xvwa/css/shop-item.css,Seed
true,GET,http://127.0.0.1/xvwa/img,Seed
true,GET,http://127.0.0.1/xvwa/js,Seed
true,GET,http://127.0.0.1/xvwa/js/bootstrap.min.js,Seed
true,GET,http://127.0.0.1/xvwa/js/jquery.js,Seed
true,GET,http://127.0.0.1/xvwa/instruction.php,
true,GET,http://127.0.0.1/xvwa/setup/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/sqli/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/sqli_blind/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/cmdi/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/xpath/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/formula_injection/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/php_object_injection/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/fileupload/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/reflected_xss/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/stored_xss/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/dom_xss/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/ssrf_xspa/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/fi/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/sessionflaws/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/idor/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/missfunc/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/csrf/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/crypto/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/redirect/,
true,GET,http://127.0.0.1/xvwa/vulnerabilities/ssti/,
false,GET,http://www.gnu.org/licenses/gpl-3.0.txt,Out of Scope
false,GET,https://twitter.com/s4n7h0,Out of Scope
false,GET,https://twitter.com/samanl33t,Out of Scope
true,GET,http://127.0.0.1/xvwa/img/xvwa-logo-1.png,
false,GET,https://oss.maxcdn.com/libs/html5shiv/3.7.0/html5shiv.js,Out of Scope
false,GET,https://oss.maxcdn.com/libs/respond.js/1.4.2/respond.min.js,Out of Scope
true,GET,http://127.0.0.1/xvwa/img/xvwa-logo.png,
false,GET,http://placehold.it/800x300,Out of Scope
true,POST,http://127.0.0.1/xvwa/login.php,
true,GET,http://127.0.0.1/xvwa/img/,
true,GET,http://127.0.0.1/xvwa/js/,
false,GET,http://getbootstrap.com/,Out of Scope
false,GET,https://github.com/twbs/bootstrap/blob/master/LICENSE,Out of Scope
false,GET,https://github.com/h5bp/html5-boilerplate/blob/master/src/css/main.css,Out of Scope
true,GET,http://127.0.0.1/xvwa/js/?C=N;O=D,
true,GET,http://127.0.0.1/xvwa/js/?C=M;O=A,
true,GET,http://127.0.0.1/xvwa/js/?C=S;O=A,
true,GET,http://127.0.0.1/xvwa/js/?C=D;O=A,
true,GET,http://127.0.0.1/xvwa/js/bootstrap.js,
true,GET,http://127.0.0.1/icons/blank.gif,
true,GET,http://127.0.0.1/icons/back.gif,
true,GET,http://127.0.0.1/icons/unknown.gif,
true,GET,http://127.0.0.1/xvwa/js/?C=N;O=A,
true,GET,http://127.0.0.1/xvwa/js/?C=M;O=D,
true,GET,http://127.0.0.1/xvwa/js/?C=S;O=D,
true,GET,http://127.0.0.1/xvwa/js/?C=D;O=D,
true,GET,http://127.0.0.1/xvwa/css/,
false,GET,http://startbootstrap.com/,Out of Scope
false,GET,http://www.apache.org/licenses/LICENSE-2.0.,Out of Scope
true,GET,http://127.0.0.1/xvwa/img/?C=N;O=D,
true,GET,http://127.0.0.1/xvwa/img/?C=M;O=A,
true,GET,http://127.0.0.1/xvwa/img/?C=S;O=A,
true,GET,http://127.0.0.1/xvwa/img/?C=D;O=A,
true,GET,http://127.0.0.1/xvwa/img/46326465img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/245426563img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/341836819img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/366343931img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/371392317img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/530800355img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/548778369img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/592089891img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/611411372img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/631741453img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/641060331img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/672363741img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/772609299img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/848226374img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/855232760img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/952986955img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1024442115img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1047092344img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1052689130img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1058279187img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1091729718img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1094262512img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1105178194img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1159814137img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1161767193img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1162095958img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1257557948img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1257777382img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1276493321img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1284893449img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1295234962img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1321018294img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1345798252img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1387728623img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1415019347img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1468726446img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1530663402img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1539674908img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1585086132img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1620396393img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1621087676img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1651394100img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1739244041img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1779722257img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1790694843img1.jpg,
true,GET,http://127.0.0.1/xvwa/img/1857608119img1.jpg,
